sample,FG001,FG002,FG003,FG004,FG005,FG006,FG007,FG009,FG010,FG011,FG013,FG014,FG015,FG016,FG017,FG018,FG019,FG021,FG024,FG026,FG027,FG031,FG032,FG033,FG034,FG035,FG100_B,FG101_B,FG102_B,FG103_B,FG104_B,FG106,FG107,FG108,FG109,FG111,FG201,FG202,FG203,FG204,FG205,FG206,FG207,FG209,FG210,FG211,FG212,Q314,Q316,Q318,Q323,Q324,Q325,Q326,Q330,Q332,Q334,Q338,Q339,Q347,Q351,Q352,Q353,Q354,Q355,Q356
5867,0610,0606,0606,0606,0606,0606,0610,0610,0606,0000,0606,0606,0606,0606,0606,0106,0606,0606,0510,0000,0106,0610,0606,0611,0000,0000,0000,0606,0102,0506,0606,0110,0610,0610,0606,0606,0606,0909,0606,0606,0610,0106,0606,0606,0606,0606,0606,0304,0606,0506,0608,0606,0610,0606,0000,0606,0610,0606,0606,0606,0000,0606,0606,0610,0606,0606
5871,0404,0104,0404,0404,0404,0404,0404,0204,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0405,0404,0404,0404,0404,0404,0404,0404,0104,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0404,0304,0404,0404,0405,0404,0404,0404,0000,0404,0404,0404
5872,0303,0303,0303,0303,0303,0103,0103,0303,0303,0303,0303,0303,0303,0303,0303,0303,0101,0303,0303,0303,0303,0000,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0306,0303,0303,0303,0303,0303,0303,0303,0303,0303,0203,0303,0303,0303,0303,0303,0303,0306,0305,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0000,0304,0303,0303
5873,0303,0304,0310,0304,0303,0310,0305,0409,0303,0000,0303,0505,0304,0404,0308,0303,0000,0000,0000,0000,0303,0309,0310,0310,0303,0304,0404,0303,0410,0304,0303,0408,0310,1010,0303,0410,0304,0510,0304,0404,0310,0303,0304,0404,0303,0000,0308,0303,0304,0000,0303,0303,0304,0303,0303,0000,0303,0303,1010,0203,0410,0103,0000,0308,0404,0303
5875,0512,1114,1414,0505,1010,0505,0511,1414,0000,0000,1414,0513,1414,0514,1414,0514,0514,0511,1414,1114,0711,1414,1111,1414,0505,0505,0514,1414,0514,0514,1414,1414,1414,1415,0314,1414,1414,1111,0417,1414,0514,0514,1414,1414,0514,0000,1414,1414,1414,1416,0514,0105,1414,0514,0214,0505,0514,1114,0911,1414,0514,0505,1414,1414,0614,0508
5880,0303,1315,0707,0707,0707,0314,0307,0707,0505,0707,0507,0307,0707,0309,0707,0713,0707,0714,0307,0303,0707,0707,0714,0307,0707,0713,0707,0407,0707,0000,0707,0707,0707,0709,0207,0607,0303,0707,0707,0707,0000,0715,0307,0714,0307,0707,0711,0708,0507,0707,0707,0000,0707,0707,0307,0712,0707,0307,0713,0513,0707,0714,0707,0707,0713,0710
5891,0606,0606,0406,0606,0406,0606,0606,0406,0406,0606,0606,0606,0606,0606,0606,0406,0606,0606,0606,0606,0606,0606,0606,0406,0406,0406,0606,0406,0606,0606,0106,0606,0606,0606,0306,0606,0404,0406,0606,0606,0606,0406,0606,0606,0606,0606,0606,0606,0606,0406,0406,0506,0606,0406,0406,0606,0606,0606,0606,0406,0606,0606,0606,0606,0000,0606
5892,0510,0505,0510,0505,1010,0505,0910,0101,0510,0910,0309,0910,1010,0510,0000,0510,0000,0509,1010,0000,0505,0505,0000,0505,0000,0000,0506,0509,1010,0509,0409,0505,0809,1111,0505,0909,0910,0510,0505,0510,0507,0510,0000,0509,0505,0505,1010,0505,0510,0510,0509,0910,1010,0505,0505,0505,0505,0511,0505,0510,0505,0505,0000,0205,1111,0510
5897,0909,0913,0909,0000,0103,1010,0707,0103,0909,0309,0909,0909,0109,0309,0909,0909,0101,0307,0303,0909,1111,0909,0309,0109,0309,0303,0909,0404,0909,0000,0709,0814,0909,0111,0303,0909,0304,0913,0909,0303,0103,0910,0000,0109,0303,0303,0303,0303,0306,0209,0909,0000,0909,0715,0109,0000,0103,0303,0909,0303,0909,0303,0000,0909,0000,1212
5898,0506,0506,0606,0505,0606,0606,0606,0606,0506,0606,0105,0505,0101,0505,0505,0000,0505,0606,0505,0000,0107,0606,0505,0606,0505,0606,0606,0606,0606,0505,0505,0505,0505,0506,0106,0606,0106,0606,0506,0506,0506,0106,0506,0000,0606,0606,0507,0606,0506,0606,0506,0606,0505,0506,0506,0507,0306,0506,0206,0505,0606,0506,0506,0506,0306,0506
5901,0606,0606,0513,0506,0606,0606,0000,0606,0506,0206,0613,0606,0506,0510,0505,0606,0506,0606,0000,0606,0310,0606,0606,0610,0610,0606,0613,0707,0506,0606,0000,0506,0413,0606,0606,0606,0606,0606,0614,0606,0000,0606,0610,0000,0610,0606,0607,0611,0606,0606,0606,0606,0606,0206,0606,0608,0606,0606,0606,0606,0606,0606,0606,1215,0106,0606
5903,0208,0808,0808,0208,0508,0606,0000,0808,0808,0808,0809,0208,0808,0208,0208,0808,0808,0208,0508,0808,0808,0208,0508,0808,0808,0808,0808,0208,0808,0808,0808,0508,0208,0202,1010,0404,0505,0808,0606,0508,0203,0211,0000,0808,0808,0808,0208,0708,0808,0213,0506,0808,0808,0508,0206,0508,0508,0208,0208,0808,0202,0108,0208,0208,0812,0202
5907,0909,0000,0909,0909,0909,0916,0000,0915,0000,0917,1718,0000,0000,0909,0917,0909,0609,0909,0909,0000,0909,0000,0910,0911,0000,0202,0909,0917,0917,0309,0921,0000,0909,0000,0909,0909,0609,0000,0909,0409,0922,1626,0917,0206,0509,0909,0609,0303,0909,1220,0909,0000,0709,0917,0000,0919,0125,0909,0925,2424,0915,0809,0000,0613,0909,0909
5908,0000,0505,0909,0808,0909,0912,0909,0909,0909,0909,0909,0909,0909,0909,0909,0909,0909,0813,0909,0909,0912,0505,0909,0209,0809,0909,0909,0000,0911,0909,0909,0909,0909,1212,0909,0909,0910,0909,0109,0909,0909,0909,0909,0909,0909,0909,0404,0909,0909,0909,0914,0909,0000,0909,0909,0909,0000,0000,1515,0909,0909,0000,0606,0709,0909,0306
5909,0505,0409,0505,0506,0909,0515,0513,0909,0000,0513,0405,0105,0505,0513,0505,0512,0505,0505,0000,0505,0505,0505,0912,0518,0509,0509,0000,0513,0509,0513,0913,0511,0114,0709,0505,0509,1213,0505,0508,0505,0509,0609,0509,0509,0913,1313,0909,0513,0509,0509,0509,0000,0209,0519,0513,0409,0509,0909,0505,0101,0103,0513,0000,0505,0509,0516
5910,0303,0102,0304,0103,0303,0203,0000,0203,0202,0304,0203,0405,0303,0304,0202,0303,0303,0304,0303,0203,0303,0303,0303,0303,0203,0303,0304,0303,0303,0303,0203,0303,0303,0303,0404,0303,0203,0303,0303,0203,0303,0303,0304,0103,0304,0303,0303,0303,0303,0304,0303,0203,0304,0303,0203,0303,0000,0203,0303,0303,0203,0303,0202,0303,0303,0304
5916,0202,0000,0205,0404,0202,0505,0202,0505,0205,0202,0205,0202,0205,0205,0202,0205,0205,0205,0205,0205,0000,0000,0505,0505,0505,0505,0505,0202,0202,0105,0202,0505,0205,0505,0205,0202,0202,0000,0505,0202,0505,0202,0000,0202,0505,0505,0305,0505,0205,0205,0205,0202,0205,0505,0000,0505,0405,0405,0505,0205,0404,0505,0000,0405,0505,0202
5918,0303,0303,0304,0305,0306,0303,0306,0303,0306,0303,0303,0306,0304,0304,0303,0304,0303,0303,0303,0303,0303,0304,0000,0306,0306,0306,0303,0306,0303,0306,0303,0303,0303,0303,0306,0306,0303,0303,0305,0304,0303,0303,0303,0103,0406,0305,0303,0303,0303,0103,0305,0303,0303,0303,0306,0303,0203,0303,0406,0303,0607,0303,0000,0303,0303,0303
5919,0505,0707,0707,0707,0707,0708,0707,0707,0707,0707,0707,0707,0505,0707,0707,0707,0507,0707,0707,0000,0707,0707,0507,0307,0707,0000,0707,0707,0707,0707,0607,0507,0707,0707,0107,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0207,0202,0709,0707,0707,0707,0407,0707,0000,0507,0707,0707,0707,0000,0707,0707,0707
5922,1010,1010,1010,1010,0510,1010,1212,1010,1010,1012,0310,1010,1010,1010,1010,1010,1010,1212,0410,0808,0000,1010,1010,0000,1010,1010,1010,1010,1010,1010,1010,1010,1012,1010,1012,0000,1010,0510,1212,1012,1010,0406,0101,0000,0000,1010,0000,0000,1010,1010,1010,0110,1212,0000,0210,0210,0810,0000,1010,1010,1010,0000,1010,1010,1010,1010
5924,1111,1112,0911,1111,1111,0911,0411,0911,0411,0611,1111,1118,1111,1111,1111,1011,1011,1011,1111,0911,1114,1111,1112,1111,0000,0911,1113,1117,0911,1113,1117,1111,0911,1111,1111,0911,0411,1116,0911,0911,1111,0914,0411,1111,0000,1111,0309,1111,1111,1011,0307,1111,0408,1111,0611,0110,1115,0611,1011,0309,0311,1111,0000,1111,0203,1113
5925,0404,0207,0207,0707,0707,0709,0207,0707,0707,0707,0707,0707,0000,0000,0407,0207,0709,0707,0707,0410,0707,0202,0707,0707,0207,0207,0000,0707,0410,0202,1010,0708,0707,1010,1010,0707,0707,0707,0207,0710,0707,0207,0707,0510,0710,0707,0507,0808,0707,0202,0707,0000,0712,0206,0707,0404,0707,0210,0711,0710,0207,0204,0707,0707,0000,0109
5928,0507,0205,0505,0506,0505,0506,0505,0505,0105,0506,0000,0506,0000,0505,0505,0000,0606,0505,0505,0506,0305,0505,0505,0506,0505,0505,0506,0505,0505,0506,0505,0506,0505,0505,0506,0105,0505,0506,0505,0506,0505,0105,0506,0505,0506,0505,0205,0505,0505,0505,0506,0505,0505,0505,0505,0405,0505,0506,0505,0505,0505,0505,0000,0505,0505,0506
5929,1414,0000,0000,1414,0606,1414,0000,1420,1213,1212,1818,0412,1214,0000,0000,1212,0112,1422,0114,1818,1212,1414,1414,0000,1414,1515,1214,1418,1218,0214,0314,1218,1717,1214,0000,1214,1014,1218,1414,1214,0000,1218,0314,0714,0114,1414,1223,1212,1414,0221,1414,1415,1414,1214,0808,1414,0722,0214,0514,2424,0912,1219,0000,1214,1212,1414
5930,0606,0606,0606,0606,0606,0606,0000,0606,0606,0606,0606,0306,0606,0000,0606,0606,0606,0206,0606,0608,0606,0000,0306,0606,0000,0202,0106,0606,0606,0606,0606,0404,0606,0606,0406,0606,0606,0406,0607,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0606,0000,0808,0606,0606,0606,0606,0606,0306,0606,0306,0606,0606,0606,0305,0606
5934,0509,0505,0909,0505,0505,0505,0505,0505,0509,0509,0505,0509,0505,0505,0909,0505,0000,0505,0505,0505,0505,0505,0505,0509,0505,0505,0509,0405,0205,0505,0105,0505,0509,0509,0505,0505,0508,0505,0505,0509,0505,0509,0505,0505,0510,0507,0505,0105,0506,0509,0505,0305,0505,0505,0505,0509,0509,0509,0505,0505,0505,0505,0909,0509,0505,0707
5935,0618,0606,0707,1010,0606,0000,1818,1012,0212,0000,1313,0712,0000,1010,1414,0000,0210,1010,0101,0101,1012,0000,0612,1515,0000,1212,1616,0000,0910,1212,0606,0101,1818,0210,1818,1212,0510,0000,1012,1010,1012,1818,1212,0610,0808,0909,0000,0612,1018,1212,1010,1012,0610,0000,0610,1012,1214,1414,0106,0613,1212,0000,0000,0102,2020,1012
5942,0808,0708,0808,0808,0808,0708,0000,0808,0708,0000,0808,0808,0708,0000,0808,0808,0707,0808,0808,0808,0808,0808,0808,0808,0808,0809,0808,0308,0808,0810,0108,0808,0208,0108,0408,0808,0810,0808,0808,0808,0808,0808,0808,0808,0808,0808,0811,0608,0708,0810,0709,0708,0808,0808,0808,0708,0808,0710,0508,0808,0808,0708,0808,0808,0108,0808
5943,1313,0509,1313,0909,1113,1313,0000,0909,0000,0000,1313,0000,1111,1213,1111,0507,1313,0514,0000,0313,0000,0713,0000,1417,0000,0505,0505,1315,1313,0507,1313,1317,0000,0000,0000,1114,0913,1313,1313,1313,0713,0000,0711,0000,0202,1313,0000,0707,0101,0000,0303,1313,0507,1717,0000,0713,0513,0507,0511,0517,0000,0913,0505,0505,0505,0511
5949,0505,0505,0505,0506,0205,0505,0505,0505,0405,0505,0505,0506,0205,0505,0505,0505,0104,0505,0505,0505,0505,0505,0105,0505,0505,0505,0405,0505,0505,0505,0405,0505,0505,0505,0205,0205,0505,0405,0105,0505,0505,0505,0505,0505,0505,0505,0105,0505,0000,0505,0505,0505,0505,0505,0505,0505,0405,0000,0505,0505,0405,0205,0000,0505,0205,0505
5952,0107,0707,0000,0000,0712,0707,0707,0707,0707,1414,0000,0712,0000,0707,0707,0707,0000,0303,0000,0707,0000,0707,0707,0707,0000,0707,0711,0000,0707,0808,0507,0707,0707,0707,0715,0707,0707,0715,0707,1212,0207,0716,0707,0000,0000,0000,0607,0707,0000,0712,0707,0707,0707,1414,0707,0000,0000,0712,0707,0707,0707,0407,0000,0707,0707,0000
5953,0711,0507,0707,0707,0707,0407,0911,0707,0707,0000,0511,0707,0711,0000,0707,0711,0707,0707,0707,0707,0711,0707,0707,0707,0507,0000,0709,0707,0707,0711,0507,0507,0707,0707,0707,0711,0808,0707,0707,0707,0707,0710,0707,0507,0712,0507,0507,0307,0507,0707,0507,0707,0707,0307,0607,0207,0707,0000,0707,0707,0707,0507,0505,0507,0311,0107
5957,0606,0909,0612,0610,0607,0606,0612,0606,0612,0612,0909,0606,0606,0610,0609,0606,0606,0612,0000,0609,0606,0909,0000,0909,0606,0606,0808,0711,0206,0606,0612,0606,0606,0606,0000,0101,0606,0000,0612,0406,0606,0612,0909,1010,0000,0606,0505,0909,0606,0606,0606,0000,0102,0606,0606,0606,0606,0606,0606,0606,0606,0609,1010,0606,0303,0606
5958,1414,1016,1314,1414,1416,1414,1414,0606,1414,1414,1313,0808,0000,1414,0707,1414,1414,1414,1418,0514,1414,1414,1414,1414,0000,1414,0114,1414,0714,1414,0214,1414,1418,0000,0514,1414,0000,1414,1414,0216,1414,0910,0514,0214,1414,0202,1414,1414,1414,1617,1414,0214,1414,1214,1414,1014,0914,1414,1114,0214,0202,0000,1414,1414,1414,0000
5963,0707,0000,0707,0000,0708,0707,0707,0707,0000,0707,0707,0707,0707,0707,0707,0707,0000,0307,0000,0707,0707,0707,0707,0707,0707,0000,0707,0707,0707,0707,0707,0707,0707,0307,0707,0707,0707,0707,0707,0707,0507,0707,0707,0707,0607,0305,0707,0707,0707,0707,0707,0707,0707,0707,0707,0407,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707
5971,0102,0101,0000,0303,0101,0101,0103,0101,0101,0101,0103,0101,0101,0101,0303,0103,0103,0101,0103,0101,0103,0101,0000,0103,0000,0103,0101,0103,0101,0303,0101,0103,0101,0101,0103,0103,0101,0101,0101,0103,0103,0101,0101,0101,0101,0101,0101,0101,0101,0103,0101,0101,0101,0101,0103,0101,0101,0101,0103,0101,0101,0101,0000,0103,0103,0303
5972,0000,1010,0307,0304,0207,0311,0404,0000,0406,0405,0607,0404,0404,0303,0404,0000,0404,0304,0000,0404,0202,0000,0406,0303,0408,0204,0218,0000,0407,0404,0515,0404,0404,0321,0417,0909,0303,1010,1212,0000,0311,0303,0606,0505,0404,0310,0606,0410,1720,0404,0404,0517,1616,0808,0000,1717,0303,0309,0404,0404,0000,0505,0404,0404,0909,1010
5977,0505,0505,0505,0505,0505,0505,0505,0505,0505,0000,0505,0505,0505,0505,0505,0000,0505,0505,0505,0000,0505,0505,0505,0105,0505,0505,0510,0509,0505,0505,0505,0505,0505,0505,0505,0303,0000,0505,0505,0505,0505,0505,0505,0505,0505,0000,0505,0105,0205,0505,0505,0105,0505,0000,0505,0405,0505,0505,0505,0505,0505,0505,0505,0707,0505,0506
5980,0000,1212,0000,0000,1016,1010,0000,1010,1010,1212,0000,0606,1010,1012,1616,1010,0000,0707,0808,1015,1515,1010,1010,1616,1717,1010,0110,0505,0303,0910,0000,1010,0000,0000,1010,1017,1010,1010,0410,0101,1010,1010,1010,1010,1010,1616,1010,0202,1616,0000,0404,0000,1010,1717,1016,1010,1313,0202,1010,0410,0000,1010,0000,1010,0000,1010
5981,0405,0205,0505,0405,0505,0404,0205,0000,0205,0000,0404,0606,0000,0204,0303,0505,0404,0104,0000,0000,0404,0404,0000,0404,0505,0202,0404,0404,0404,0404,0404,0404,0204,0404,0405,0405,0404,0404,0405,0404,0204,0505,0404,0404,0404,0505,0405,0505,0509,0404,0405,0405,0405,0304,0404,0505,0404,0404,0407,0404,0000,0505,0000,0208,0404,1010
5986,0909,0909,0303,0909,1111,0303,0909,0909,0303,0000,0213,0707,0909,0000,0909,0000,0909,0909,0909,0409,0909,0909,1111,0606,0909,0909,0909,0909,0909,0909,0914,0303,0909,0909,0509,0909,0000,0909,0912,0909,0911,0909,0909,0909,0406,0909,0309,0000,0909,0509,0109,0909,0909,0909,1515,1010,1111,0000,0909,0808,0909,0909,0909,0109,0303,0909
5988,0707,0707,0707,0707,0707,0707,0107,0707,0707,0207,0510,0707,0000,0711,0707,0000,0707,0407,0107,0707,0709,0707,0707,0707,0207,0209,0107,0307,0707,0707,0707,0707,0708,0707,0707,0707,0711,0709,0707,0707,0207,0207,0707,0207,0707,0707,0707,0709,0107,0107,0207,0707,0707,0607,0707,0709,0707,0707,0707,0707,0107,0707,0707,0207,0207,0207
5991,0808,0108,0808,0505,0108,0506,0508,0508,0808,0808,0808,0101,0505,0505,0808,0606,0108,0808,0303,0606,0000,0508,0808,0808,0000,0808,0808,0508,0808,0507,0000,0808,0508,0808,0808,0508,0808,0808,0808,0808,0808,0808,0000,0808,0508,0505,0508,0505,0808,0108,0303,0808,0808,0505,0206,0405,0508,0808,0808,0808,0105,0810,0808,0808,0808,0508
5993,0210,0202,0609,0000,0909,0202,0202,0204,0606,0209,0101,0206,0210,0709,0209,0202,0210,0206,0000,0606,0206,0209,0202,0202,0210,0202,0202,0202,0202,0202,0202,0209,0909,0206,0910,0207,0304,0202,0210,0209,0209,0207,0207,0202,0610,0202,0207,0210,0202,0202,0209,0207,0209,0202,0209,0202,0208,0210,0209,0210,0206,0205,0206,0204,0210,0609
5994,0707,0000,0707,0707,0707,0708,0707,0707,0707,0707,0707,0708,0708,0707,0708,0707,0707,0707,0000,0707,0707,0707,0207,0707,0708,0707,0707,0000,0707,0707,0707,0307,0707,0707,0707,0000,0707,0707,0707,0707,0707,0707,0000,0707,0607,0507,0707,0707,0707,0711,0707,0707,0707,0707,0707,0708,0707,0000,0708,0708,0707,0707,0107,0000,0707,0708
5997,0404,0404,0404,0404,0408,0404,1313,0404,0000,0000,0404,0404,0404,0404,0404,0404,0413,1111,0404,0404,0000,1010,0000,0404,0404,0404,1313,0404,0404,1414,0404,0404,0409,0404,1010,0304,0000,0404,0000,0909,0606,0404,0404,0310,0404,0404,0404,0404,0404,0404,0204,0404,0101,0000,0404,0411,0000,0404,0404,0404,0404,0404,0909,0606,0404,0000
5999,0406,0606,0606,0606,0607,0606,0606,0404,0606,0606,0404,0606,0606,0000,0607,0606,0406,0406,0606,0606,0404,0607,0406,0608,0406,0606,0607,0606,0404,0606,0606,0406,0606,0606,0410,0606,0406,0306,0606,0406,0606,0707,0406,0106,0606,0606,0606,0406,0606,0606,0204,0609,0606,0606,0606,0606,0307,0000,0606,0305,0606,0606,0606,0606,0506,0606
6000,0707,0000,0707,0707,0707,0607,0000,0105,0707,0707,0404,0000,0000,0707,0404,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,1111,0404,0000,0000,0507,0707,0303,0202,0707,0707,0000,0708,0707,0707,0606,0707,0707,0707,0707,1010,0707,0707,0707,0707,0000,0709,0000,0707,0707,0707,0707,0711,0707,0707,0000,0707,0707,0707
6003,0303,0506,0303,0000,0303,0000,0103,0203,0203,0305,0101,0303,0202,0505,0000,0102,0103,0505,0205,0306,0606,0303,0303,0000,0202,0105,0101,0505,0303,0101,0000,0103,0103,0303,0103,0505,0101,0202,0204,0505,0103,0102,0000,0105,0305,0103,0103,0303,0103,0105,0506,0000,0305,0303,0305,0103,0205,0303,0103,0305,0203,0103,0101,0105,0305,0103
6004,1010,0105,0505,0505,0202,0808,0000,0000,0000,0505,0505,0507,0000,0202,0505,0505,1111,0909,0505,0505,0505,0000,0505,0505,0205,0202,0505,0206,0505,0404,0505,0505,0509,0505,0808,0509,0000,0505,0303,0505,0509,0505,0000,0606,0606,0505,0606,0505,1111,0909,0505,0000,0909,0000,1010,0205,0505,0404,0505,0411,0808,1212,0508,0511,0205,0505
6005,0909,0607,0614,0909,0611,0609,0909,0911,0709,0709,0709,0607,0000,0000,0000,0209,0909,0609,0609,0606,0909,0206,0000,0506,0000,0909,0000,0609,0606,0909,1017,0910,0102,0911,0000,0909,1213,0711,0607,0909,0000,0102,0711,0910,1014,0209,0909,0709,0709,0909,0711,0000,0000,0911,0911,0609,0611,0609,0709,0206,0909,0909,0000,0609,0609,0610
6009,0508,0505,0505,0505,1212,0505,0505,0511,0506,0000,0505,0505,0505,0505,0505,0505,0505,0205,0505,0505,0506,0000,0606,0505,0305,0505,0505,0506,0505,0505,0505,0505,0505,0205,0305,0505,0505,0505,0105,0505,0505,0409,0000,0505,0505,0506,0506,0505,0405,0505,0509,0405,0505,0505,0505,0405,0507,0505,0505,0505,0505,0510,0505,0505,0505,0505
6010,0000,1011,1011,0811,0211,0611,1011,0811,1111,0811,0810,0808,1111,0811,0810,0000,0810,1011,1010,0609,1111,1011,0911,0810,1111,0000,1112,0511,0310,1011,1011,0000,1010,0811,1111,1111,1011,1011,0810,1011,1011,0511,0310,1111,0808,0811,0811,0812,1010,1111,0810,1010,0910,0511,1111,1010,1011,1111,1111,1011,0811,0810,1111,0810,1212,1013
6012,0914,0909,0000,0914,0914,0909,0000,0909,0909,0809,0909,0911,1414,0914,0000,0000,0914,0914,0914,0909,0914,0909,0909,0809,0914,0914,1415,0909,0309,0914,0912,0109,0909,0916,0914,0909,1014,0909,0914,0914,0914,1414,0000,0914,0914,0914,0000,0914,0914,0509,0909,0509,0709,0914,0909,0914,0909,0000,0914,0909,0909,0914,0000,0614,0209,0000
6014,1212,1212,0000,1212,1111,0511,0512,0000,0808,0305,0707,0707,0505,0303,0202,0000,0505,0412,0000,1010,0808,0808,0707,0505,0505,0808,0506,0000,1212,0511,0808,0808,0405,0000,0707,0505,0909,0404,0505,0505,1313,0711,0405,0104,0505,0407,0505,0505,0000,0505,0507,0508,0411,0508,0505,0808,0308,1212,0508,0505,1212,0808,0000,0303,1212,0000
6015,0000,0808,0811,1111,0811,0808,0811,0202,0000,0808,1111,1111,0808,1111,1111,0811,1111,0811,0509,0808,1111,0808,0000,0808,0510,1111,1111,0812,0808,0000,1111,0811,1111,0000,0808,1314,0611,0808,0808,0303,0808,0811,1111,1111,1516,0808,0808,0511,0000,0808,0808,0509,0808,0810,0811,0808,0811,0808,0811,0808,0707,0505,0808,1117,0808,0611
6017,1014,1010,1010,1010,1013,1010,0909,1010,1010,0808,1010,1010,0808,1010,1010,0000,1010,1010,0000,1010,1015,1010,1010,1010,0000,1010,0610,1010,0707,1010,0910,0000,0000,0202,1010,0505,1011,1010,0910,0811,1010,0808,1010,0810,1010,1010,0808,1010,0000,1010,0110,0000,1010,1011,1010,1111,1010,1014,0810,1212,1010,0811,0000,1010,1010,1010
6022,0606,0000,0606,0606,0608,0606,0909,0606,0909,0909,0606,0606,0606,0609,0606,0606,0000,0606,0606,0606,0606,0000,0609,0909,0000,0000,0606,0606,0606,0000,0406,1010,0606,0606,0606,0606,0606,0609,0606,0606,0606,0606,0606,0606,0609,0606,0506,0202,0606,0609,0606,0606,0606,0606,0606,0606,0606,0909,0709,0609,0909,0606,0000,0000,0106,0000
6024,0505,0505,0808,0508,0508,0505,0808,0808,0505,0505,0202,0808,0000,0505,0505,0505,0505,0808,0508,0508,0707,0000,0508,0505,0101,0000,0508,0505,0508,0508,0000,0505,0101,0000,0505,0101,0505,0505,0505,0202,0000,0000,0505,0505,0608,0505,0505,0505,0505,0505,0505,0505,0000,0808,0000,0205,0404,0606,0508,0808,0101,0505,0505,0808,0308,0000
6025,0307,0307,0707,0707,0707,0707,0000,0307,0708,0707,0707,0202,0707,0707,0707,0000,0000,0707,0307,0307,0707,0000,0707,0107,0707,0707,0707,0707,0707,0707,0707,0707,0313,0708,0707,0304,0505,0707,0707,0707,0707,0707,0707,0707,0707,0707,0707,0710,0711,0707,0707,0707,0707,0707,0707,0709,0707,0707,0714,0707,0710,0107,0707,0707,0206,0712
6026,0909,0109,0000,0707,0909,0505,0809,0913,0505,0000,0913,0707,0710,0709,0707,0913,0000,0606,0713,0513,0909,0709,0707,0707,0910,0709,0709,0707,0909,0707,0709,0707,0709,0713,0913,0710,0707,0707,0909,0709,0709,0707,0709,0707,0707,0707,0709,1113,1313,1212,0909,0709,0709,0707,0000,0909,0707,0909,0707,0707,1313,0709,0508,0909,0909,0407
6028,0606,0606,0606,0606,0606,0306,0000,0606,0606,0606,0606,0606,0607,0606,0606,0606,0606,0000,0606,0606,0206,0606,0606,0606,0606,0606,0406,0606,0606,0606,0606,0606,0606,0606,0606,0606,0000,0606,0606,0606,0606,0606,0206,0606,0606,0106,0202,0606,0606,0606,0000,0606,0606,0606,0606,0606,0606,0606,0606,0000,0606,0000,0606,0606,0606,0606
6029,1113,1111,1111,1111,0311,1112,1111,0418,1117,1111,0311,1116,0311,1111,0411,1011,0311,1111,1111,0411,1011,1111,1111,0911,1111,1111,0311,1111,1111,1111,1111,1111,1111,1115,1111,1111,1114,1111,0106,1111,0811,0311,0411,1111,1111,1111,1111,0410,0000,0311,1111,1111,1111,0111,0310,1111,0517,0000,1111,1111,0411,0311,1111,0311,0000,0311
6033,0413,1212,0413,0413,1313,0413,0513,0413,0000,0413,0213,1313,1313,0000,0000,1313,1313,1313,1313,1313,1313,1313,0213,1313,0413,1313,1313,0413,1313,1313,0713,1313,0413,1313,1313,1214,0101,1113,1313,1313,1313,1313,1313,0404,0404,0613,1313,1313,1213,0413,1313,1313,0808,0913,0606,0313,1313,0413,0506,0404,0404,0404,1313,0404,1313,1013
6036,0808,0808,0808,0000,0808,0808,0808,0808,0000,0808,0808,0808,0000,0808,0808,0808,0108,0108,0000,0000,0208,0808,0808,0000,0808,0808,0808,0808,0808,0808,0808,0308,0808,0808,0808,0808,0808,0608,0808,0808,0808,0808,0808,0408,0808,0808,0808,0808,0708,0808,0808,0808,0808,0808,0808,0505,0808,0808,0808,0808,0808,0808,0808,0808,0808,0808
6037,0000,0404,0405,0404,0404,0202,0404,0404,0404,0404,0000,0404,0404,0409,0409,0000,0404,0404,0404,0505,0000,0000,0404,0404,0404,0404,0404,0404,0205,0405,0000,0000,0404,0000,0204,1111,0506,0404,0505,0202,0000,0408,0000,0709,1212,0404,0000,0505,0404,0410,0409,0404,0404,0505,0203,0909,0909,0404,0404,0204,0000,0404,0909,0409,0404,0000
6043,0707,0707,0000,0707,0114,0407,0707,0707,0707,0507,0707,0707,0707,0707,0707,0707,0000,0307,0707,0707,0707,0808,0707,0710,0707,0707,0512,0707,0707,0711,0712,0707,0707,0707,0707,0707,0707,0709,0507,0707,0707,0707,0707,0707,0707,0608,0711,0707,0707,0707,0707,0707,0712,0707,0000,0707,0707,0707,0707,0707,0707,0707,0707,0707,0207,0707
6044,0303,0000,0303,0000,0303,0303,0000,0303,0303,0303,0303,0303,0303,0000,0303,0000,0000,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0303,0000,0303,0303,0103,0303,0303,0303,0000,0303,0303,0303,0303,0303,0303,0303,0303,0203,0303,0303,0303,0305,0303,0303,0303,0303,0304,0303,0303,0303,0303,0303,0303,0303,0303,0303
